tahun,jenis_ikan,produksi_(ton)
2019,Teri,438
2019,Teri Nasi,0
2019,Belanak,25
2019,Bentong,656
2019,Cendro,108
2019,Daun Bambu / Talang-talang,143
2019,Ikan terbang,186
2019,Japuh,313
2019,Julung-julung,0
2019,Banyar,538
2019,Kembung,1095
2019,Layang Anggur / Malalugis,0
2019,Layang Deles,0
2019,Layang Biru,0
2019,Layang Benggol,5806
2019,Lemuru,409
2019,Siro,1092
2019,Selar Komo,0
2019,Selar Hijau,0
2019,Selar Kuning,1302
2019,Sunglir,312
2019,Tembang,2762
2019,Selanget,0
2019,Terubuk,0
2019,Tetengkek,732
2019,Semar,263
2019,Ikan Pelagis Kecil Lainnya,1071
2019,Albakora,318
2019,Tuna Mata besar,1207
2019,Tuna Sirip Biru Selatan,25
2019,Tuna Gigi Anjing,0
2019,Madidihang,12414
2019,Tongkol Abu-abu,89
2019,Tongkol Komo,129
2019,Tongkol Krai,1940
2019,Lisong,760
2019,Kenyar,0
2019,Slengseng,0
2019,Cakalang,30113
2019,Lemadang,466
2019,Ikan Layaran,43
2019,Ikan Pedang,77
2019,Ikan Tumbuk,0
2019,Setuhuk Biru,0
2019,Setuhuk Hitam,111
2019,Setuhuk Loreng,0
2019,Tenggiri,846
2019,Tenggiri papan,505
2019,Nyunglas,0
2019,Ikan Gindara,188
2019,Ikan Gergaji,0
2019,Cucut Botol,0
2019,Cucut Koboi,0
2019,Cucut Lainnya,0
2019,Cucut Lanyam,374
2019,Cucut Macan,0
2019,Cucut Martil / Capingan,0
2019,Cucut Selendang,0
2019,Cucut Tikus / Cucut Monyet,0
2019,Mako,340
2019,Ikan Paus,0
2019,Ikan Pelagis Besar Lainnya,0
2019,Manyung,640
2019,Ikan Sebelah,81
2019,Lolosi biru,0
2019,Kuwe,530
2019,Bawal hitam,1516
2019,Bawal Putih,7
2019,Golok-golok,152
2019,Bawal Belang,0
2019,Beloso / Buntut Kerbo,55
2019,Ikan Lidah,7
2019,Gerot-gerot,43
2019,Ikan Gaji,0
2019,Ikan Nomei / Lomei,0
2019,Kapas-kapas,14
2019,Peperek,312
2019,Lencam,165
2019,Kakap Putih,47
2019,Kakap Batu,38
2019,Kakap Sawo,0
2019,Kakap Merah / Bambangan,189
2019,Jenaha,29
2019,Trisi,8
2019,Pinjalo,0
2019,Kurisi,44
2019,Kuniran,154
2019,Biji Nangka,8
2019,Biji Nangka Karang,0
2019,Kurau,0
2019,Kuro / Senangin,141
2019,Swanggi / Mata besar,126
2019,Serinding Tembakau,0
2019,Gulamah / Tigawaja,1
2019,Rejung,0
2019,Alu-alu / Manggilala / Pucul,173
2019,Senuk,0
2019,Kerong-kerong,29
2019,Layur,179
2019,Pari Kembang / Pari Macan,1
2019,Pari Kelelawar,0
2019,Pari Burung,17
2019,Pari Hidung Sekop,0
2019,Pari Kekeh,90
2019,Pari Lainnya,0
2019,Remang / Cunang / Pucuk Nipah,101
2019,Gabus,134
2019,Samgeh,335
2019,Kambing-kambing / Ayam-ayam,6
2019,Sembilang,25
2019,Opah,0
2019,Ikan Demersal Lainnya,1333
2019,Ekor Kuning / Pisang-pisang,168
2019,Ikan Napoleon,0
2019,Kerapu Karang,0
2019,Kerapu Bebek,0
2019,Kerapu Balong,0
2019,Kerapu Lumpur,89
2019,Kerapu Sunu,33
2019,Beronang Lingkis,0
2019,Beronang Kuning,0
2019,Ikan Beronang,113
2019,Kakak Tua,13
2019,Ikan Lainnya,0
2019,Udang Dogol,0
2019,Udang Putih / Jerbung,554
2019,Udang Krosok,0
2019,Udang Ratu/Raja,0
2019,Udang Windu,0
2019,Udang Barong/Udang Karang,0
2019,Udang Kipas,0
2019,Udang Ketak,0
2019,Udang Lainnya,0
2019,Lobster Mutiara,0
2019,Lobster Pakistan,0
2019,Lobster Pasir,0
2019,Lobster Bambu,0
2019,Lobster Batik,0
2019,Lobster Batu,0
2019,Lobster Lainnya,0
2019,Kepiting,0
2019,Rajungan,118
2019,Penyu,0
2019,Binatang berkulit keras lainnya,0
2019,Kerang Darah,0
2019,Kerang Hijau,0
2019,Kerang Mutiara / Tapis-tapis,0
2019,Cumi-cumi,32050
2019,Sotong,867
2019,Gurita,0
2019,Tiram,0
2019,Simping,0
2019,Remis,0
2019,Lola / Susu bundar,0
2019,Binatang Lunak Lainnya,0
2019,Teripang,0
2019,Ubur-ubur,0
2019,Bunga karang,0
2019,Penyu Hijau,0
2019,Penyu Sisik,0
2019,Penyu Lekang,0
2019,Penyu Belimbing,0
2019,Penyu Pipih,0
2019,Penyu Tempayan,0
2019,Penyu Lainnya,0
2019,Binatang air lainnya,0
2019,Rumput Laut,0
